2	333	334	283	335	8
3	336	337	338	339	340	341	342	343	283	344
4	345	346	347	46	348	340	350	342	71	339	351	133	352	353	354	355	356	357	39	358	24
5	346	359	340	360	353	230	361	344	354	362	363
13	340	364	365	366	137	367	74	3	21	24	345
14	368	340	350	353	369	370	344
15	345	340	371	372	373	137	138	374	47
17	402	344	340
36	346	339	447	452	344	655	453	231	173	230	2	607	340	283	460	532	629	458	456	352	289	266	385	121	345	581	630	387	489
101	371	137	582	557	374	47	345	340	372
106	344	340	3	346	339	453	421	404	382	455	283	335	458	460	463	388	675	676	489	385
107	339	3	283	340	344	346	453	421	404	382	455	611	545	289	675	460	458	388	676	489	630
108	346	283	344	340	3	457	421	339	453	382	455	677	460	458	489
153	345	340	591	382	592	593	535	137	138	117
154	345	340	556	371	137	117	557	594
155	345	340	539	595	596	71	473	382
156	340	375	376
158	346	543	599	339	600	385	451	344	340	283	382	230	601	602
159	170	541	588
160	475	340	346	504	414	603	352	430	347	344	597	370	492
162	346	334	453	344	231	173	230	2	607	283	340	456	432	388	532	352	460	608	458	609	545	289	385	610	451	121	489
163	346	334	453	344	231	173	230	2	283	340	451	460	352	611	456	436	388	545	289	266	385	610	121	489	612
167	448	451	344	617	283	325
168	448	451	344	617	283	325	618	619
170	346	340	339	353	623	574	354	39	624
172	346	340	627	339	353	628	344	39	562
173	346	334	453	344	231	173	230	2	607	340	283	629	456	532	460	458	352	630	524	341	388	266	631	39	545	289	389	385	451	632	121	345	581	387	489	612
174	340	504	346	353	407	633	634	354	344	574
175	346	334	453	344	231	173	230	2	283	340	460	352	611	456	436	388	545	289	266	385	610	451	121	489
176	635	636	339	637	638	340	639	461	289	344	640
177	641	642	402	543	334	340	344	451	461	283	460	643	644	645	325	3	646	647
178	346	334	453	344	231	173	230	2	283	340	460	352	611	456	436	388	289	545	266	385	610	451	121	489	612
179	474	334	340	344	648
180	474	339	649	340	344	650	651	137	39	652	121	289	545	266
181	266	474	339	649	340	344	489	651	653	39	133	289	545	121
182	474	334	344	654
183	346	655	453	344	656	230	2	283	340	460	657	611	436	658	545	289	266	385	451	121	489	173	610	456
184	340	346	504	353	342	407	62	338	465	432	352	659	660	344	661	662	663	664	665	666	667	668	669	670	671
185	389	340	345	451	344	453	103	283	289	545
186	340	351	339	672	570	354	347	39	344	673
187	340	351	339	407	672	570	344	347	422	39	674
188	579	678	679	680	344	658
189	579	678	679	681	344	658
190	678	679	681	658	682	344	579
191	340	529	487	683
202	340	345	344	687	690	564
210	346	361	475	694	344	407	570	504	340
211	507	695	679	137	117	696
218	340	413	376	407	406	673
232	345	340	724	720	725	726	137	191	622
324	637	340	543	493	585	541	545	289
